id,team,pos,name,buy_cost,sale_value,3_pts,4_pts,5_pts,6_pts,7_pts,8_pts,9_pts,10_pts
503,Brighton,G,Walton,4.000,4.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
504,Wolves,F,Fabio Silva,5.500,5.500,1.269,1.599,1.530,1.768,1.755,1.617,1.632,1.461
505,Wolves,D,Marçal,5.000,5.000,2.300,4.183,3.036,3.851,3.859,2.546,3.282,2.331
506,Newcastle,F,Wilson,6.500,6.500,3.298,4.276,3.383,3.255,3.645,3.570,3.142,3.719
507,Newcastle,M,Fraser,6.000,6.000,1.945,2.372,2.008,1.892,2.019,1.984,2.017,2.131
508,Everton,M,Rodríguez,7.500,7.500,4.109,4.607,3.241,3.885,4.228,3.521,4.419,4.245
509,Sheffield Utd,D,Ampadu,4.500,4.500,2.052,0.262,0.646,0.289,0.331,0.485,0.937,0.899
510,Sheffield Utd,D,Bogle,4.500,4.500,0.141,0.080,0.233,0.089,0.138,0.204,0.316,0.495
511,Sheffield Utd,D,Lowe,4.500,4.500,0.101,0.026,0.044,0.035,0.034,0.067,0.112,0.118
512,Everton,M,Doucouré,5.500,5.500,2.313,2.281,1.853,1.960,2.192,1.939,2.156,2.139
513,Newcastle,D,Lewis,4.500,4.500,1.151,3.049,1.659,2.161,2.411,2.135,1.575,2.544
514,Aston Villa,F,Watkins,6.000,6.000,3.093,2.221,2.600,2.967,2.889,2.408,2.786,2.772
515,Wolves,M,Vitinha,5.000,5.000,0.150,0.364,0.255,0.313,0.353,0.456,0.411,0.411
516,Fulham,G,Areola,4.500,4.500,2.317,2.140,2.206,2.473,2.401,2.193,2.118,2.106
517,Fulham,D,Tete,4.500,4.500,1.876,1.321,1.472,1.978,1.995,1.454,1.564,1.097
518,Leicester,M,Mendy,4.500,4.500,1.141,1.378,1.378,1.143,1.284,1.356,1.182,1.376
519,Burnley,D,Dunne,4.000,4.000,1.078,0.847,0.587,0.221,0.117,0.163,0.201,0.078
520,Burnley,D,Thomas,4.000,4.000,0.066,0.070,0.036,0.000,0.000,0.032,0.000,0.012
521,Spurs,D,Carter-Vickers,4.000,4.000,0.000,0.000,0.000,0.000,0.042,0.042,0.020,0.025
522,Crystal Palace,D,Woods,4.000,4.000,0.000,0.060,0.142,0.074,0.142,0.129,0.205,0.226
523,Southampton,G,Forster,4.000,4.000,0.000,0.000,0.000,0.000,0.000,0.044,0.000,0.074
524,Southampton,M,Tella,4.500,4.500,0.482,0.584,0.426,0.539,0.600,0.696,0.647,0.643
525,Fulham,D,Odoi,4.500,4.500,1.338,1.096,1.451,1.568,1.711,1.301,1.328,1.117
526,Arsenal,M,Elneny,4.500,4.500,1.219,1.606,1.216,1.617,1.499,1.723,1.507,1.659
527,Arsenal,G,Macey,4.000,4.000,0.000,0.000,0.000,0.041,0.074,0.045,0.082,0.044
528,Brighton,G,Steele,4.000,4.000,0.000,0.038,0.042,0.089,0.073,0.132,0.041,0.140
529,Sheffield Utd,D,Jagielka,4.000,4.000,0.109,0.028,0.047,0.038,0.038,0.048,0.121,0.210
530,West Brom,D,Ivanovic,4.500,4.500,0.737,0.952,1.166,0.830,1.182,0.822,0.573,1.073
531,Liverpool,M,Thiago,6.000,6.000,2.061,0.000,1.554,1.789,2.024,1.466,1.840,1.792
532,Leeds,G,Caprile,4.000,4.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
533,Leeds,M,Bogusz,4.500,4.500,0.122,0.000,0.078,0.085,0.080,0.083,0.117,0.191
534,Crystal Palace,D,Inniss,4.000,4.000,0.126,0.000,0.072,0.112,0.115,0.098,0.138,0.152
535,Burnley,M,Benson,4.500,4.500,1.051,0.000,0.634,0.475,0.418,0.410,0.400,0.451
536,Burnley,D,Driscoll-Glennon,4.000,4.000,0.033,0.000,0.036,0.000,0.000,0.000,0.040,0.012
537,Man City,M,Bernabé,4.500,4.500,0.266,0.000,0.101,0.054,0.000,0.045,0.097,0.058
538,Man City,G,Steffen,4.500,4.500,0.000,0.000,0.085,0.135,0.094,0.038,0.123,0.149
539,Man City,F,Delap,4.500,4.500,0.379,0.000,0.314,0.166,0.157,0.096,0.102,0.115
540,Aston Villa,M,Traoré,6.000,6.000,2.537,0.000,2.019,2.408,2.308,1.978,2.441,2.182
541,Leicester,M,Ünder,6.000,6.000,1.646,0.000,2.440,1.790,2.059,1.884,1.554,2.258
542,Spurs,D,Reguilón,5.500,5.500,1.815,0.000,2.903,2.779,2.996,3.009,1.235,1.523
543,Spurs,M,Bale,9.500,9.500,0.372,0.000,2.444,2.957,3.072,3.295,2.350,2.404
544,West Brom,M,Gallagher,5.500,5.500,0.069,0.000,0.156,0.147,0.156,0.144,0.134,0.227
545,Wolves,D,Hoever,4.500,4.500,0.250,0.000,0.189,0.333,0.241,0.236,0.299,0.308
546,Wolves,D,Hoever,4.500,4.500,0.250,0.000,0.189,0.333,0.241,0.236,0.299,0.308
