id,team,pos,name,buy_cost,sale_value,3_pts,4_pts,5_pts,6_pts,7_pts,8_pts,9_pts,10_pts
111,Chelsea,D,Emerson,4.900,4.900,0.000,0.000,0.000,0.034,0.000,0.054,0.052,0.000
112,Chelsea,G,Arrizabalaga,5.000,5.000,2.954,3.296,3.039,2.567,3.065,3.169,3.041,2.758
113,Chelsea,M,Kanté,5.000,5.000,2.905,2.935,2.740,2.282,2.713,2.701,2.635,2.471
114,Chelsea,M,Ziyech,7.900,7.900,0.000,1.676,2.305,2.396,2.881,2.792,2.766,2.698
115,Chelsea,M,Loftus-Cheek,6.000,6.000,0.857,0.818,0.867,0.704,0.660,0.877,0.765,0.725
116,Chelsea,D,Christensen,5.000,5.000,1.586,1.665,1.465,1.005,1.561,1.738,1.587,1.289
117,Chelsea,F,Werner,9.500,9.500,5.603,5.689,5.293,4.197,5.098,5.152,5.082,4.734
118,Chelsea,F,Abraham,7.300,7.300,1.863,1.301,1.371,1.182,1.485,1.368,1.430,1.548
119,Chelsea,M,Pulisic,8.400,8.400,0.000,1.982,2.756,2.865,3.495,3.545,3.511,3.206
120,Chelsea,M,Mount,6.900,6.900,3.721,3.512,2.994,2.328,2.925,2.924,2.790,2.509
121,Chelsea,D,Tomori,4.900,4.900,0.049,0.053,0.047,0.064,0.097,0.101,0.144,0.081
122,Chelsea,M,Hudson-Odoi,5.900,5.900,2.640,1.832,1.288,0.608,0.838,0.853,0.732,0.898
123,Chelsea,D,James,5.100,5.100,4.080,4.258,3.737,2.400,3.778,3.917,3.687,3.064
124,Chelsea,M,Gilmour,4.500,4.500,0.000,0.000,0.000,0.000,0.000,0.042,0.083,0.238
125,Crystal Palace,D,Cahill,4.500,4.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
126,Crystal Palace,G,Hennessey,4.500,4.500,0.000,0.035,0.042,0.042,0.038,0.040,0.082,0.043
127,Crystal Palace,D,Sakho,4.500,4.500,2.280,1.270,2.403,2.484,1.881,2.065,2.238,2.490
128,Crystal Palace,G,Guaita,5.000,5.000,3.511,3.103,3.599,3.699,3.326,3.402,3.496,3.677
129,Crystal Palace,D,Tomkins,4.500,4.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
130,Crystal Palace,M,McArthur,5.500,5.500,2.473,2.077,2.490,2.479,2.137,2.363,2.317,2.537
131,Crystal Palace,M,McCarthy,4.500,4.500,1.939,1.839,1.969,2.084,1.821,1.929,1.891,2.047
132,Crystal Palace,F,Benteke,5.500,5.500,0.000,0.394,0.714,1.164,0.851,1.187,0.990,1.176
133,Crystal Palace,M,Kouyaté,5.000,5.000,2.213,1.959,2.349,2.305,2.032,2.092,2.088,2.242
134,Crystal Palace,D,Ward,4.500,4.500,2.586,1.491,2.846,2.914,2.155,2.428,2.566,2.858
135,Crystal Palace,D,Kelly,4.400,4.400,0.063,0.020,0.071,0.037,0.029,0.129,0.103,0.114
136,Crystal Palace,F,Wickham,4.500,4.500,0.000,0.000,0.056,0.058,0.047,0.223,0.161,0.174
137,Crystal Palace,M,Townsend,6.000,6.000,3.135,2.596,3.273,3.249,2.630,3.065,2.865,3.123
138,Crystal Palace,M,Milivojevic,5.900,5.900,1.365,1.114,1.563,1.444,1.260,1.431,1.509,1.427
139,Crystal Palace,D,van Aanholt,5.500,5.500,0.000,0.909,2.859,3.773,2.567,3.169,3.343,3.704
140,Crystal Palace,F,Ayew,6.000,6.000,2.756,2.393,2.872,2.971,2.328,2.887,2.781,2.997
141,Crystal Palace,M,Zaha,7.100,7.100,3.378,2.825,3.681,3.752,2.918,3.529,3.356,3.610
142,Crystal Palace,M,Schlupp,5.500,5.500,1.704,1.387,1.610,1.702,1.441,1.681,1.725,1.762
143,Crystal Palace,M,Meyer,4.900,4.900,0.037,0.068,0.039,0.080,0.071,0.078,0.153,0.120
144,Crystal Palace,M,Riedewald,4.500,4.500,0.171,0.405,0.389,0.393,0.326,0.384,0.416,0.432
145,Crystal Palace,D,Ferguson,4.000,4.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
146,Crystal Palace,D,Mitchell,4.100,4.100,2.209,1.227,2.369,2.422,1.801,1.945,2.056,2.004
147,Crystal Palace,M,Pierrick,4.500,4.500,0.208,0.160,0.108,0.109,0.100,0.107,0.177,0.184
148,Everton,M,Walcott,5.900,5.900,0.492,0.505,0.371,0.470,0.444,0.482,0.575,0.561
149,Everton,M,Delph,4.900,4.900,0.000,0.166,0.148,0.157,0.130,0.183,0.167,0.164
150,Everton,M,Sigurdsson,6.900,6.900,2.166,2.086,1.713,2.089,2.182,1.674,2.212,2.079
151,Everton,G,Lössl,4.500,4.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.043
152,Everton,D,Coleman,5.000,5.000,3.472,3.498,1.791,2.761,3.151,2.190,3.275,3.041
153,Everton,F,Tosun,6.000,6.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
154,Everton,M,Bernard,5.900,5.900,0.392,0.406,0.371,0.493,0.614,0.589,0.558,0.672
155,Everton,D,Digne,6.100,6.100,4.274,4.291,2.190,3.425,3.849,2.679,4.088,3.662
156,Everton,D,Keane,5.000,5.000,3.977,3.983,2.002,3.195,3.565,2.434,3.833,3.318
157,Everton,G,Pickford,5.000,5.000,3.935,3.976,3.115,3.621,3.769,3.315,3.913,3.587
158,Everton,M,André Gomes,5.500,5.500,1.738,1.810,1.478,1.696,1.776,1.485,1.634,1.667
159,Everton,M,Iwobi,5.900,5.900,0.826,1.040,0.805,0.872,1.065,1.107,1.274,1.190
160,Everton,D,Kenny,4.500,4.500,0.715,1.053,0.488,0.795,0.826,0.744,1.224,0.755
161,Everton,M,Gbamin,5.000,5.000,0.000,0.000,0.000,0.000,0.000,0.000,0.323,0.489
162,Everton,D,Mina,5.500,5.500,3.804,3.792,1.797,2.818,3.175,2.142,3.454,2.459
163,Everton,M,Davies,5.400,5.400,0.662,0.648,0.648,0.671,0.635,0.676,0.762,0.672
164,Everton,F,Calvert-Lewin,7.200,7.200,3.779,3.852,2.984,3.443,3.637,3.156,3.825,3.699
165,Everton,D,Holgate,4.900,4.900,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.037
166,Everton,F,Richarlison,8.000,8.000,3.550,3.594,2.868,3.258,3.401,2.968,3.558,3.423
167,Everton,G,Virgínia,4.500,4.500,0.000,0.000,0.036,0.042,0.044,0.000,0.045,0.085
168,Everton,M,Gordon,4.500,4.500,0.094,0.237,0.157,0.307,0.327,0.250,0.196,0.334
169,Everton,F,Kean,6.000,6.000,0.848,1.068,0.921,1.081,1.272,1.161,1.232,1.260
170,Everton,D,Branthwaite,4.000,4.000,0.000,0.000,0.221,0.542,0.984,0.783,1.103,0.830
171,Fulham,G,Fabri,4.000,4.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
172,Fulham,M,McDonald,4.900,4.900,0.000,0.000,0.033,0.000,0.035,0.033,0.033,0.032
173,Fulham,D,Le Marchand,4.400,4.400,0.065,0.149,0.201,0.273,0.317,0.340,0.353,0.335
174,Fulham,M,Johansen,4.900,4.900,0.070,0.093,0.098,0.173,0.178,0.165,0.163,0.158
175,Fulham,M,Cairney,5.400,5.400,2.019,1.707,1.740,1.920,2.029,1.771,1.832,1.744
176,Fulham,D,Ream,4.500,4.500,2.766,2.040,2.299,2.774,2.853,1.968,2.120,1.530
177,Fulham,M,Knockaert,5.400,5.400,1.604,1.368,1.439,1.511,1.570,1.403,1.440,1.366
178,Fulham,D,Hector,4.500,4.500,2.794,1.980,2.334,2.749,2.814,2.015,2.104,1.550
179,Fulham,D,Christie,4.500,4.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
180,Fulham,M,Kebano,5.000,5.000,1.146,1.235,1.336,1.345,1.581,1.409,1.374,1.159
181,Fulham,F,Decordova-Reid,5.500,5.500,1.612,1.379,1.524,1.740,1.725,1.600,1.551,1.497
182,Fulham,D,Bryan,5.000,5.000,3.126,2.172,2.517,3.087,3.153,2.266,2.251,1.699
183,Fulham,G,Bettinelli,4.500,4.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
184,Fulham,F,Mitrović,6.000,6.000,4.119,3.060,3.431,4.046,4.353,3.623,3.307,3.065
185,Fulham,D,Mawson,4.500,4.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
186,Fulham,G,Rodák,4.500,4.500,1.597,1.437,1.585,1.524,1.613,1.411,1.549,1.319
187,Fulham,M,Cavaleiro,5.500,5.500,3.095,2.397,2.473,2.946,3.121,2.613,2.481,2.435
188,Fulham,M,Onomah,5.000,5.000,1.922,1.718,1.796,1.925,2.055,1.799,1.700,1.734
189,Fulham,M,Seri,4.900,4.900,0.429,0.491,0.543,0.542,0.632,0.583,0.574,0.555
190,Fulham,M,Kamara,5.000,5.000,1.874,1.522,1.706,2.097,2.206,1.814,1.751,1.611
191,Fulham,M,Anguissa,4.500,4.500,2.114,1.910,1.973,2.081,2.113,1.934,1.879,1.827
192,Fulham,D,Sessegnon,4.400,4.400,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
193,Leeds,M,Hernández,5.900,5.900,1.873,2.348,2.619,2.885,2.826,2.968,2.642,2.511
194,Leeds,G,Casilla,4.500,4.500,0.081,0.070,0.121,0.121,0.153,0.125,0.149,0.191
195,Leeds,D,Cooper,4.400,4.400,2.688,1.102,2.501,2.567,2.194,2.652,1.959,2.030
196,Leeds,D,Douglas,4.000,4.000,0.036,0.035,0.106,0.112,0.129,0.232,0.147,0.215
197,Leeds,D,Ayling,4.500,4.500,3.622,1.345,3.071,3.239,2.698,3.272,2.412,2.433
198,Leeds,M,Klich,5.600,5.600,3.033,2.412,2.735,3.025,2.768,2.912,2.638,2.516
199,Leeds,M,Forshaw,4.900,4.900,0.000,0.000,0.211,0.371,0.565,0.547,0.552,0.612
200,Leeds,D,Dallas,4.500,4.500,3.615,1.392,3.062,3.223,2.682,3.297,2.403,2.475
201,Leeds,D,Alioski,4.500,4.500,0.672,0.398,0.914,1.244,1.017,1.257,0.911,1.122
202,Leeds,F,Bamford,5.700,5.700,3.610,2.816,3.211,3.664,3.327,3.443,3.146,3.005
203,Leeds,M,Harrison,5.500,5.500,3.406,2.632,3.021,3.285,3.073,3.082,2.794,2.663
204,Leeds,M,Phillips,5.000,5.000,2.215,1.849,2.120,2.132,1.986,2.127,1.911,1.910
205,Leeds,M,Costa,5.600,5.600,3.563,2.794,3.232,3.645,3.153,3.391,3.070,2.968
206,Leeds,M,Roberts,5.000,5.000,1.853,1.315,1.467,1.637,1.596,1.585,1.577,1.499
207,Leeds,M,Grot,4.900,4.900,0.036,0.033,0.035,0.074,0.036,0.073,0.070,0.070
208,Leeds,G,Miazek,4.000,4.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
209,Leeds,M,Poveda-Ocampo,4.500,4.500,0.077,0.035,0.075,0.080,0.038,0.078,0.075,0.073
210,Leeds,M,Shackleton,4.900,4.900,0.355,0.303,0.252,0.303,0.218,0.187,0.285,0.282
211,Leeds,D,Struijk,4.000,4.000,1.185,0.472,1.322,1.295,1.254,1.461,1.033,1.185
212,Leeds,M,Stevens,4.500,4.500,0.000,0.033,0.036,0.076,0.037,0.075,0.072,0.106
213,Leeds,G,Meslier,4.500,4.500,3.500,3.008,3.436,3.419,3.204,3.500,3.121,3.169
214,Leeds,D,Davis,4.000,4.000,0.066,0.048,0.132,0.202,0.147,0.211,0.188,0.256
215,Leeds,D,Casey,4.000,4.000,0.000,0.016,0.067,0.070,0.091,0.109,0.056,0.176
216,Leicester,D,Morgan,4.400,4.400,0.268,0.861,0.739,0.569,0.606,0.715,0.399,1.102
217,Leicester,G,Schmeichel,5.500,5.500,3.132,3.845,3.826,3.222,3.498,3.643,3.001,4.030
218,Leicester,D,Fuchs,4.500,4.500,0.191,0.490,0.621,0.241,0.376,0.450,0.208,0.566
219,Leicester,D,Evans,5.500,5.500,1.199,3.470,3.691,2.184,2.741,3.045,1.384,3.774
220,Leicester,M,Silva,4.500,4.500,0.032,0.039,0.080,0.102,0.109,0.107,0.096,0.122
221,Leicester,M,Albrighton,5.500,5.500,0.549,0.773,0.858,0.719,0.868,0.812,0.616,0.878
222,Leicester,M,James,4.500,4.500,0.000,0.000,0.039,0.034,0.036,0.035,0.000,0.040
223,Leicester,G,Ward,4.500,4.500,0.000,0.000,0.088,0.037,0.040,0.042,0.035,0.046
224,Leicester,F,Vardy,10.100,10.100,3.734,5.752,6.032,4.344,4.940,4.495,3.521,5.800
225,Leicester,M,Praet,5.500,5.500,1.298,1.779,1.811,1.563,1.619,1.633,1.361,1.995
226,Leicester,D,Pereira,6.000,6.000,0.000,0.000,1.465,1.266,2.085,2.381,1.054,3.014
227,Leicester,D,Amartey,4.000,4.000,0.016,0.123,0.087,0.056,0.069,0.076,0.039,0.094
228,Leicester,M,Tielemans,6.500,6.500,2.233,2.971,3.072,2.337,2.670,2.516,2.151,2.929
229,Leicester,M,Pérez,6.400,6.400,1.253,1.911,1.906,1.632,1.754,1.790,1.442,2.379
230,Leicester,M,Gray,5.400,5.400,0.042,0.117,0.122,0.095,0.159,0.154,0.128,0.190
231,Leicester,M,Maddison,7.000,7.000,2.324,3.224,3.625,2.507,2.894,2.763,2.243,3.610
232,Chelsea,D,Chilwell,5.500,5.500,4.027,4.201,3.659,2.421,3.706,3.704,3.616,3.059
233,Leicester,F,Iheanacho,5.900,5.900,0.710,0.934,0.981,0.870,0.916,1.027,0.896,1.349
